key,instantiation-moment,start-display-period,end-display-period,picture,slogan,link
banner-01,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-02,2001/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-03,2001/06/24 01:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-04,2022/07/29 23:59,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-05,2022/07/29 23:58,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-06,2012/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-07,2020/06/24 00:00,2022/07/29 23:59,2022/08/29 23:59,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-08,2020/06/24 00:00,2022/07/29 23:58,2022/08/29 23:59,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-09,2020/06/24 00:00,2020/07/30 00:00,2020/09/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-10,2020/06/24 00:00,2020/07/30 00:01,2020/09/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-11,2020/06/24 00:00,2030/07/30 00:00,2030/09/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-12,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://linkSuperlargoSinsentido_conCosas_deporMEdio.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-13,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://かわいい犬.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-14,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://c.com,¿Quién dice no a Mentos?,https://linkSinGracia.com
banner-15,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos? A no ser que no tenga los 75 caracteres necesarios,https://linkSinGracia.com
banner-16,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos? A no ser que no tenga los 74 caracteres que piden,https://linkSinGracia.com
banner-17,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿,https://linkSinGracia.com
banner-18,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿?,https://linkSinGracia.com
banner-19,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,メントスにノーと言える人はいないでしょうか？,https://linkSinGracia.com
banner-20,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos? Pero solo eso,https://linkSinGracia.com
banner-21,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://linkSuperlargoSinsentido_conCosas_deporMEdio.com
banner-22,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://面白くないリンク.com
banner-23,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿Quién dice no a Mentos?,https://l.com